,gain
kt_lag1,0.6244499
kt_vecinos_mean,0.12221576
kt_last_op,0.056754738
cloud_type_lag1,0.03255806
cos_hour,0.008385767
kt_vecinos_std,0.008250082
kd_difusa_lag1,0.0068320995
hour,0.0061095315
fill_flag_lag1,0.0047714557
dewpoint_depresion_lag1,0.00475637
kt_lag24,0.004462144
temperature_lag1,0.004146668
temperature_max_12h,0.004136317
wind_dir_cos_lag1,0.004125065
cloud_fill_flag_lag1,0.0039417115
pressure_tend_12h,0.0039212834
precipitable_water_lag1,0.0038529523
ssa_lag1,0.0037159969
wind_dir_sin_lag1,0.003574731
clearsky_dhi,0.003571757
wind_direction_lag1,0.0035275407
kd_difusa_tend,0.0034792123
clearsky_ghi,0.003421621
wind_v_lag1,0.0032154683
clearsky_dni,0.0031808524
doy,0.0031728302
solar_zenith_angle,0.0030977856
precipitable_water_tend_12h,0.0030286587
temperature_tend_12h,0.0030257169
cos_doy,0.0029508555
relative_humidity_lag1,0.002822274
ozone_lag1,0.002809986
relative_humidity_min_12h,0.0027949384
sin_doy,0.0027374835
kt_lag2,0.0026331835
aerosol_optical_depth_lag1,0.0025958042
asymmetry_lag1,0.002540631
month,0.0023913395
kd_difusa_lag2,0.002388602
sin_hour,0.0023465676
temperature_min_12h,0.0023081228
precipitable_water_media_12h,0.00218055
alpha_lag1,0.0020993117
dew_point_lag1,0.0020658874
kt_grad_x,0.0020060148
wind_u_lag1,0.0019789268
wind_speed_lag1,0.0019740097
relative_humidity_max_12h,0.00192849
relative_humidity_media_12h,0.0019132076
kt_grad_y,0.0017760205
kt_lag3,0.0017106138
pressure_lag1,0.0012830956
kt_adveccion,0.0011808462
msnm,0.0010499399
longitude,0.0008653375
latitude,0.000843263
surface_albedo_lag1,0.00014271312
