,gain
kt_lag1,0.56620634
kt_vecinos_mean,0.11172158
kt_vecinos_mean_r2,0.08646777
cloud_op_vecinos_mean,0.068747796
cos_hour,0.0073350607
frac_nublado_12h,0.007265926
kd_difusa_lag1,0.006844639
kt_last_op,0.0068016695
cloud_type_lag1,0.006259145
hour,0.005347535
kd_difusa_tend,0.003944111
cloud_op_lag1,0.0038061012
wind_dir_cos_lag1,0.0037361674
kt_lag24,0.0036894092
fill_flag_lag1,0.003655238
dewpoint_depresion_lag1,0.003653129
temperature_lag1,0.0035369655
clearsky_dhi,0.0034115554
kt_upwind,0.0033544714
clearsky_dni,0.0032845992
temperature_max_12h,0.003131492
ssa_lag1,0.003050165
asymmetry_lag1,0.0029322219
pressure_tend_12h,0.0029069162
precipitable_water_lag1,0.002819724
kt_vecinos_std,0.002797005
precipitable_water_tend_12h,0.002789946
solar_zenith_angle,0.002767848
cloud_op_media_12h,0.0026828647
cos_doy,0.0026691824
doy,0.0026476511
clearsky_ghi,0.00261914
wind_direction_lag1,0.0025999746
sin_hour,0.0025974119
kd_difusa_lag2,0.0024925952
wind_dir_sin_lag1,0.0024801497
temperature_tend_12h,0.0024649901
kt_lag2,0.0024505167
sin_doy,0.0023933272
wind_v_lag1,0.0023642743
relative_humidity_min_12h,0.0023581604
relative_humidity_lag1,0.0023414036
ozone_lag1,0.0022909073
aerosol_optical_depth_lag1,0.0022527871
month,0.0022437659
temperature_min_12h,0.002123805
alpha_lag1,0.0018950726
precipitable_water_media_12h,0.0018432261
cloud_fill_flag_lag1,0.0017600504
relative_humidity_media_12h,0.0017195328
wind_u_lag1,0.0017103176
dew_point_lag1,0.0017098932
kt_lag3,0.0016101332
wind_speed_lag1,0.0015946239
kt_grad_x,0.0015035634
relative_humidity_max_12h,0.0014144522
pressure_lag1,0.0014094219
msnm,0.0013970558
kt_grad_y,0.0013261797
kt_adveccion,0.0009234972
longitude,0.00089333864
latitude,0.0008157648
surface_albedo_lag1,0.00013650062
