segmento,n,RMSE_persistence,RMSE_modelo,MAE_modelo,MBE_modelo,R2_persistence,R2_modelo,skill,split
global,592312,86.70539491350209,75.34270513372982,41.28282249292805,3.1746509556259026,0.9174906442671592,0.9376992359049071,0.13104939768866475,val
limpio_ff0,539027,88.1111866670019,76.51348717905391,41.78146384014111,2.4226684561112393,0.9087888144731556,0.931220028485924,0.13162573251656584,val
rellenado_ff_pos,53285,70.9350370578887,62.27365438721207,36.2386046180249,10.781648624123424,0.8618087328847154,0.8934955624496319,0.12210302595046585,val
global,593770,86.41390074445432,75.93107006094354,44.41932393576161,1.3582391518016024,0.913090553105279,0.9328974835809152,0.12130954155756624,test
limpio_ff0,538873,87.95228871554268,77.36543641177948,45.51412244219532,1.3728460322893998,0.9030730707390537,0.9250029599875602,0.12037040147986866,test
rellenado_ff_pos,54897,69.52891960882249,60.05943903731692,33.672701068256046,1.214856935849895,0.8743074408215656,0.9062133227155394,0.13619484704755846,test
