,gain
kt_lag1,0.5226896
kt_last_op,0.21184093
cloud_type_lag1,0.05201369
cos_hour,0.014446995
hour,0.010366674
temperature_max_12h,0.008741856
sin_hour,0.008100311
kt_lag24,0.007494823
relative_humidity_lag1,0.007320353
wind_direction_lag1,0.0071682706
ssa_lag1,0.007097837
pressure_tend_12h,0.006974899
clearsky_dhi,0.0069251806
cloud_fill_flag_lag1,0.006907039
fill_flag_lag1,0.006783153
temperature_lag1,0.0065740347
kt_lag2,0.0064347354
precipitable_water_lag1,0.0063018366
clearsky_ghi,0.006174403
temperature_tend_12h,0.0056548677
solar_zenith_angle,0.005402851
clearsky_dni,0.00509911
precipitable_water_tend_12h,0.0050868895
cos_doy,0.004891164
month,0.0047927424
doy,0.0047528977
sin_doy,0.004589367
aerosol_optical_depth_lag1,0.004526733
asymmetry_lag1,0.0044846255
ozone_lag1,0.004193211
relative_humidity_min_12h,0.0041406346
relative_humidity_max_12h,0.0036510623
alpha_lag1,0.003597781
kt_lag3,0.0034738185
precipitable_water_media_12h,0.0034179538
dew_point_lag1,0.0032480513
wind_speed_lag1,0.0031135688
relative_humidity_media_12h,0.0029928181
temperature_min_12h,0.0027511476
pressure_lag1,0.001960381
longitude,0.0013511728
msnm,0.001158054
latitude,0.0010929533
surface_albedo_lag1,0.00021944422
