nodo_id,n,RMSE_modelo,RMSE_persistence,R2_modelo,skill
1409,4125,74.75664765192411,81.77028994951085,0.9333846447926087,0.08577250125830937
1410,4123,78.67526752924479,85.67296445465084,0.9267913111257626,0.0816791734702974
1411,4124,82.1145240775083,89.9918602319399,0.9191170241777235,0.08753387399848156
1412,4123,83.57970639407603,91.42184763844838,0.9158339107322482,0.08577972822630053
1413,4125,81.61005054673281,88.80284493020687,0.9211283529456579,0.08099734179830753
1414,4123,81.4385046183573,89.38153660480626,0.9222772481924693,0.08886658574206974
1415,4124,80.46027197854389,88.53454063687929,0.9248758249613749,0.09119908004551214
1463,4125,75.08741586991763,81.99821502609694,0.9342482028795759,0.08427987309211382
1464,4124,77.48642148530091,84.54191132612375,0.9275636303682789,0.08345552791686972
1465,4122,83.12978832112341,91.28077872207122,0.9178042020153458,0.08929580263294723
1466,4123,82.8116676228138,91.25114944116699,0.9162444542181934,0.09248630696750215
1467,4123,81.53005667945777,89.7289350609175,0.9180032226406856,0.09137385143257803
1468,4124,78.90504592654062,86.94036193917844,0.9260733826928818,0.09242330988061853
1469,4122,80.13792669941577,88.87511628131263,0.9252753928087027,0.09830861491355358
1470,4124,78.58652159666912,86.31618095313223,0.9286340628018579,0.08955052541840502
1471,4124,78.48293038893276,87.75396138965344,0.9288029758221568,0.10564800555902631
1517,4126,74.44022269602885,81.74735274009238,0.9358847430999689,0.08938674830603777
1518,4125,75.35677884058967,82.02388786722403,0.9334391943052048,0.08128252878511111
1519,4124,77.46939109422627,84.17628961533534,0.9275131150104521,0.07967681340859667
1520,4122,80.24625035051359,87.64157852115052,0.9226261414942577,0.08438150356742169
1521,4123,81.05551267544384,88.34771412800623,0.9206064913777933,0.08253978639443671
1522,4124,82.02349416638931,90.12189972715173,0.9208239183052334,0.08986057312685058
1523,4124,80.36880669893849,87.63529823704758,0.9243034918797512,0.0829174052498084
1524,4124,79.05101545627097,86.42101627088047,0.9265927655645277,0.08528019146996324
1525,4124,75.08274451478673,82.12235281542993,0.9351579381601611,0.0857209768023176
1526,4123,77.5890252483738,85.9171562254343,0.9305287239251532,0.09693210696136956
1527,4124,77.6046689572243,86.13654353418842,0.9300293740328809,0.09905057977602427
1570,4124,76.53636071432514,83.62291482748041,0.9327796191842233,0.08474416525392947
1571,4125,74.95368407932474,81.5780515633728,0.9351775635584589,0.08120281567281618
1572,4125,74.4367022571686,80.44568499854557,0.9354491698568569,0.07469614736310104
1573,4125,76.11648334334116,82.51354308993687,0.9313977056745185,0.0775273913474197
1574,4122,78.85364579565461,85.8852199209127,0.9268428861096535,0.08187176014374886
1575,4123,82.01647639902293,90.07658134950024,0.9201089182828223,0.08948058229701039
1576,4124,77.34311712940813,83.7827925640833,0.9306112984576439,0.0768615516097727
1577,4124,78.20523157877379,84.39098266723983,0.9289686493326905,0.07329872094103851
1578,4125,78.2366642228529,84.12230169826596,0.9291016648317344,0.06996524532250625
1579,4124,74.87107458178733,80.59198706366213,0.9352498990934686,0.07098612021261719
1580,4123,73.68535825753725,80.47023877539011,0.9372592787136891,0.08431540183186159
1581,4124,74.67863027128865,82.23806488164931,0.9353694900777916,0.09192135808691038
1582,4124,74.88801989942634,82.62939584357146,0.9341448331507166,0.09368791657148967
1624,4123,79.00856043335033,86.45447141533307,0.9288264775499349,0.08612522707139225
1625,4124,77.13285684864931,84.5150527379882,0.9314859622895078,0.08734770493754551
1626,4124,76.69265290862754,83.69449493496643,0.9320644618579046,0.08365952900223095
1627,4124,78.42045299023145,85.50763710245836,0.9284250329151558,0.08288363884660721
1628,4124,81.98022637694196,90.09959478216942,0.9194558835369776,0.09011548192705388
1629,4123,82.67526794064686,89.4303287796137,0.9195537152947977,0.0755343397608833
1630,4123,78.68593711945834,84.76818028163689,0.9275917232835751,0.07175148908435547
1631,4123,77.18013934057328,82.7429473798044,0.9306405814706965,0.06722999621583314
1632,4125,75.3122306894333,80.51282650574562,0.9346108848108057,0.06459338271947501
1633,4124,72.8811293542553,78.220080800873,0.9388082063120472,0.06825550922414958
1634,4124,73.4339606541651,79.78442551304356,0.9376709776432428,0.07959529467114168
1635,4124,73.6180946643532,80.72428822577336,0.937398748249689,0.08803042699546937
1636,4124,74.6738029772318,81.98436692057615,0.9354527962581819,0.08917021888363896
1677,4124,77.25129198662628,84.89017523771518,0.9311170004815734,0.08998548100175296
1678,4123,80.55924872636074,88.52153879202925,0.9256157422756669,0.08994748819691167
1679,4122,78.8584215654373,85.95887020263099,0.9289069501101139,0.08260286135050166
1680,4125,81.77613697708007,90.16527386798425,0.9199796169500701,0.09304177241436828
1681,4125,81.27023747978372,88.55267372554414,0.9227411504505736,0.08223846824017145
1682,4123,77.51726920826799,83.31799072453263,0.9312172212642356,0.06962147629607496
1683,4123,77.61207874303769,83.22298125495634,0.9303447672936433,0.06742010953356103
1684,4122,76.02159578718727,81.59067771390608,0.9329533682198623,0.06825635088173354
1685,4124,75.87609439775385,81.40590875673509,0.9331341462964547,0.06792890643240601
1686,4124,74.02018624903812,79.84392675235947,0.9363187513780351,0.07293905422993552
1687,4124,73.17548270518215,79.95872708405375,0.9379539150463376,0.08483432173377348
1688,4122,74.37699702899882,81.62743722957956,0.9362323429965278,0.08882356774461342
1689,4124,75.69243224796753,83.14175790936194,0.933552874872703,0.0895978849703345
1730,4123,80.30841294895714,89.27860672840117,0.9241094738552807,0.1004741685399807
1731,4123,82.09841001921654,90.97981914504783,0.9211884144307888,0.09761955133887201
1732,4122,81.96564841267254,90.69754792340476,0.9230954532235451,0.09627492375104141
1733,4125,87.64878865353744,95.5286120811004,0.9078513100476545,0.08248652687294644
1734,4124,81.8198272181154,88.68994107310985,0.921200620198155,0.07746215378958476
1735,4123,80.95098074197455,87.320598170803,0.9245766976412505,0.07294518775935532
1736,4123,78.49193111747854,84.87255937778005,0.9283497584372038,0.07517893070598247
1737,4125,75.78758809628167,81.29890131839188,0.9328391411452676,0.0677907466489146
1738,4124,75.09308922740037,80.51027793019176,0.9341365154833778,0.06728567882337322
1739,4124,74.5281102683197,80.87549407142325,0.9354931243716645,0.07848340063923465
1740,4123,73.58732077121564,80.34885486196882,0.9370984046928564,0.08415221476857138
1741,4122,73.6816974095542,80.75429190758634,0.9370515226474078,0.08758165455931277
1742,4124,74.59144688341057,82.06407223794302,0.9355987591069619,0.09105842728430213
1782,4123,82.05418598111879,90.53921531275925,0.9208900830706704,0.09371662105011314
1783,4123,79.99811417280324,88.1741132385915,0.926070312609291,0.09272561713963279
1784,4121,88.4133771123145,97.27145012392556,0.9054813909176311,0.09106549763908844
1785,4125,88.06481709532252,95.40898455557542,0.9040689310113496,0.07697563803307161
1786,4124,82.98352398047099,89.55109119601778,0.9191629282598845,0.07333877374169662
1787,4123,79.43695146163938,86.12037724818848,0.9281794349869168,0.07760562598661491
1788,4123,77.38006039678037,83.83404904587144,0.9305000955420786,0.0769852908519264
1789,4122,76.774210241063,83.2651241461639,0.9315988501878112,0.07795477364216408
1790,4124,75.20217261560556,81.40586304558256,0.9345879757702913,0.07620692414382113
1791,4124,73.44266546536804,79.25217802523731,0.9374764197468333,0.07330413755971821
1792,4123,73.59683101200416,80.40990337194354,0.9369498355471343,0.08472926933421221
1793,4122,73.68524072870645,80.99857637193277,0.9368624780752189,0.09028968126112036
1794,4123,74.76499416054362,81.98402020001929,0.9350917842453652,0.08805406250953729
1828,4123,83.96758519735513,93.04258217179455,0.9194842588168163,0.09753595356675793
1829,4123,81.31430029324734,89.5613153741576,0.924732205799716,0.09208233539734156
1830,4122,88.38947224957217,96.665405505675,0.9040445330068614,0.08561421961465798
1831,4123,85.51691178840515,92.89738477370224,0.9118621917791867,0.07944758620789916
1832,4124,82.65223869999942,89.90181608055103,0.9196861221209301,0.08063883130076122
1833,4123,79.39426875190824,86.43466337031691,0.9273357720145108,0.08145337002407371
1834,4122,79.05745054881542,85.74615672011508,0.9277527000338058,0.07800590052254275
1835,4122,77.6582633923861,84.5489094833287,0.930758989430227,0.08149893514949813
1836,4124,75.15317827990322,81.69285989729805,0.9350720465672734,0.08005205871867305
1837,4125,74.99615388635809,81.45607500537643,0.9353473210465165,0.07930557811178562
1838,4123,75.25145711396983,82.15895112035803,0.9346454314485463,0.08407475889351512
1839,4121,75.52988314013828,83.24212644811786,0.9341720846775876,0.09264832167383863
1840,4122,75.95145637478954,83.74075707439195,0.9331546545283905,0.0930168411623351
1872,4123,88.21282169590694,97.85450870808339,0.9107625458192583,0.09853084072946738
1873,4123,86.84756638942149,95.1340993349629,0.9083847157321148,0.08710370943193457
1874,4122,93.99412538928122,101.80497476666628,0.8904007747644894,0.07672365122910019
1875,4124,83.62763733615523,90.5793722856963,0.9167055952103713,0.07674744010826884
1876,4124,80.04388782000265,86.49228154401287,0.9267871246137696,0.07455455687949286
1877,4124,80.79114033819589,87.78010884640669,0.9248799054523342,0.0796190458186804
1878,4122,80.33855697184838,87.81353565637002,0.925773751617873,0.08512330848142324
1879,4123,78.91743846385556,86.63451004929013,0.9285941753463839,0.08907618431781972
1880,4124,78.07452895104502,85.6153199563342,0.9300191104651537,0.08807758949140365
1881,4125,75.64412180370473,83.05352242186845,0.9342564658474712,0.08921235851416198
1882,4122,74.86416516276893,81.99548882835953,0.9353556717495145,0.08697214648623586
1883,4124,75.63561278322558,83.49813092200294,0.9341147628839036,0.09416400166037098
1917,4122,91.44063409255364,97.68828370557384,0.8935194031730846,0.0639549532045236
1918,4123,90.50970065210197,96.1949385444894,0.8985686033633145,0.0591012165339454
