regimen_nubosidad,n,RMSE_modelo,RMSE_persistence,MAE_modelo,R2_modelo,skill
cubierto (kt<0.3),40469,148.00311916998174,141.39993945569697,109.22724064147782,-4.109447177589668,-0.04669860354751898
parcial (0.3-0.7),104991,112.96465166208118,127.59236531283705,79.93931963955356,0.5620809613772747,0.11464411381426265
despejado (kt>=0.7),448310,57.66063070592219,65.36645559253958,33.24942042487403,0.956382886891422,0.11788653395330917
