nodo_id,latitude,longitude,msnm
244,18.13,-66.98,518
245,18.13,-66.94,547
246,18.13,-66.9,581
247,18.13,-66.86,732
248,18.13,-66.82,882
249,18.13,-66.78,881
250,18.13,-66.74,805
251,18.13,-66.7,836
252,18.13,-66.66,657
253,18.13,-66.62,576
254,18.13,-66.58,497
255,18.13,-66.54,630
256,18.13,-66.5,299
257,18.13,-66.46,324
258,18.13,-66.42,478
259,18.13,-66.38,456
260,18.13,-66.34,494
261,18.13,-66.3,641
262,18.13,-66.26,628
263,18.13,-66.22,395
264,18.13,-66.18,396
265,18.13,-66.14,400
266,18.13,-66.1,485
267,18.13,-66.06,530
268,18.13,-66.02,440
269,18.13,-65.98,246
270,18.13,-65.94,257
271,18.13,-65.9,244
272,18.13,-65.86,118
273,18.13,-65.82,34
274,18.13,-65.78,5
275,18.13,-65.74,0
276,18.13,-65.58,1
277,18.13,-65.54,10
278,18.13,-65.5,43
279,18.13,-65.46,47
280,18.13,-65.42,56
281,18.13,-65.38,38
282,18.13,-65.34,19
283,18.13,-65.3,14
284,18.17,-67.22,0
285,18.17,-67.18,8
286,18.17,-67.14,68
287,18.17,-67.1,182
288,18.17,-67.06,205
289,18.17,-67.02,395
290,18.17,-66.98,557
291,18.17,-66.94,552
292,18.17,-66.9,677
293,18.17,-66.86,684
294,18.17,-66.82,718
295,18.17,-66.78,714
296,18.17,-66.74,588
297,18.17,-66.7,690
298,18.17,-66.66,707
299,18.17,-66.62,742
300,18.17,-66.58,962
301,18.17,-66.54,933
302,18.17,-66.5,831
303,18.17,-66.46,709
304,18.17,-66.42,700
305,18.17,-66.38,772
306,18.17,-66.34,717
307,18.17,-66.3,629
308,18.17,-66.26,525
309,18.17,-66.22,504
310,18.17,-66.18,464
311,18.17,-66.14,443
312,18.17,-66.1,432
313,18.17,-66.06,302
314,18.17,-66.02,289
315,18.17,-65.98,189
316,18.17,-65.94,150
317,18.17,-65.9,146
318,18.17,-65.86,123
319,18.17,-65.82,68
320,18.17,-65.78,23
321,18.17,-65.74,3
322,18.17,-65.7,2
323,18.17,-65.66,0
324,18.17,-65.62,0
325,18.17,-65.54,0
326,18.17,-65.5,0
327,18.17,-65.46,0
328,18.17,-65.42,6
329,18.17,-65.38,7
330,18.17,-65.34,1
331,18.17,-65.3,0
332,18.21,-67.22,0
333,18.21,-67.18,4
334,18.21,-67.14,60
335,18.21,-67.1,169
336,18.21,-67.06,283
337,18.21,-67.02,388
338,18.21,-66.98,467
