regimen_nubosidad,n,cobertura,anchura_media
cubierto (kt<0.3),286,0.4230769230769231,201.36839294433594
parcial (0.3-0.7),708,0.7372881355932204,203.15090942382812
despejado (kt>=0.7),3129,0.4857782038990093,111.00470733642578
