segmento,n,RMSE_persistence,RMSE_modelo,MAE_modelo,MBE_modelo,R2_persistence,R2_modelo,skill,split
global,102836,85.25247493573045,77.86541616912515,42.835803650368554,3.490324589941752,0.9203702497465562,0.933572091241456,0.08664920018068911,val
limpio_ff0,93630,86.66296639931768,79.08711737888984,43.34051268865929,2.763329361203923,0.9120273329216273,0.9267357428519192,0.08741737486252821,val
rellenado_ff_pos,9206,69.29486410009231,64.13135707347975,37.70263970781352,10.884259335403724,0.868633037921583,0.8874812439648715,0.07451500329308947,val
global,103085,84.89083991831293,78.9184802398922,46.50517357275177,1.4598229471312039,0.9162704784348483,0.927637364611203,0.07035340543417512,test
limpio_ff0,93650,86.34064241593744,80.5096466706184,47.79107464928329,1.3941180894264102,0.90683948853286,0.9189977366192155,0.06753477368431893,test
rellenado_ff_pos,9435,68.86475625651362,60.911250409792125,33.74156617294498,2.1119967599615066,0.8732263346911726,0.9008186426548492,0.11549457631267235,test
