nodo_id,cvegeo,ciudad,municipio,cve_mun,es_cabecera,conglomerado,nombre_conglomerado,metodo,peso,area_urbana_celda_km2,dist_centro_km,n_nodos_dentro,n_nodos_ciudad,calidad,region
13,280030122,Miramar,Altamira,003,False,41,Tampico,dentro,0.446006,14.5356,1.75,2,6,media,Sur
9,280030122,Miramar,Altamira,003,False,41,Tampico,dentro,0.233158,7.5987,4.276,2,6,media,Sur
8,280030122,Miramar,Altamira,003,False,41,Tampico,celda,0.125213,4.0808,3.474,2,6,media,Sur
26,280030122,Miramar,Altamira,003,False,41,Tampico,celda,0.098454,3.2087,5.735,2,6,media,Sur
14,280030122,Miramar,Altamira,003,False,41,Tampico,celda,0.097165,3.1667,3.046,2,6,media,Sur
12,280030122,Miramar,Altamira,003,False,41,Tampico,celda,5e-06,0.0002,5.517,2,6,media,Sur
3271,280230001,Méndez,Méndez,023,True,35,Méndez,celda,0.994089,1.3271,1.607,0,2,baja,Valle de San Fernando
3241,280230001,Méndez,Méndez,023,True,35,Méndez,celda,0.005911,0.0079,3.168,0,2,baja,Valle de San Fernando
4167,280140001,Nueva Ciudad Guerrero,Guerrero,014,True,18,Nueva Ciudad Guerrero,dentro,0.903122,4.9232,1.047,1,2,media,Fronteriza
4166,280140001,Nueva Ciudad Guerrero,Guerrero,014,True,18,Nueva Ciudad Guerrero,celda,0.096878,0.5281,3.448,1,2,media,Fronteriza
2107,280300001,Nueva Villa de Padilla,Padilla,030,True,28,Nueva Villa de Padilla,dentro,1.0,2.5184,0.353,1,1,media,Centro
4342,280270001,Nuevo Laredo,Nuevo Laredo,027,True,19,Nuevo Laredo,dentro,0.137521,17.4176,1.682,6,17,alta,Fronteriza
4352,280270001,Nuevo Laredo,Nuevo Laredo,027,True,19,Nuevo Laredo,dentro,0.129226,16.367,2.803,6,17,alta,Fronteriza
4334,280270001,Nuevo Laredo,Nuevo Laredo,027,True,19,Nuevo Laredo,dentro,0.1202,15.2238,6.07,6,17,alta,Fronteriza
4343,280270001,Nuevo Laredo,Nuevo Laredo,027,True,19,Nuevo Laredo,dentro,0.092122,11.6676,4.613,6,17,alta,Fronteriza
4353,280270001,Nuevo Laredo,Nuevo Laredo,027,True,19,Nuevo Laredo,dentro,0.091668,11.61,5.128,6,17,alta,Fronteriza
