nodo_id,cvegeo,ciudad,municipio,cve_mun,es_cabecera,conglomerado,nombre_conglomerado,metodo,peso,area_urbana_celda_km2,dist_centro_km,n_nodos_dentro,n_nodos_ciudad,calidad,region
3659,280400001,Valle Hermoso,Valle Hermoso,040,True,50,Valle Hermoso,dentro,0.321324,6.86,2.387,2,6,media,Fronteriza
3660,280400001,Valle Hermoso,Valle Hermoso,040,True,50,Valle Hermoso,celda,0.130178,2.7792,3.943,2,6,media,Fronteriza
3694,280400001,Valle Hermoso,Valle Hermoso,040,True,50,Valle Hermoso,celda,0.122559,2.6165,3.88,2,6,media,Fronteriza
3658,280400001,Valle Hermoso,Valle Hermoso,040,True,50,Valle Hermoso,celda,0.046076,0.9837,5.273,2,6,media,Fronteriza
3692,280400001,Valle Hermoso,Valle Hermoso,040,True,50,Valle Hermoso,celda,0.016264,0.3472,5.225,2,6,media,Fronteriza
2707,280200001,Villa Mainero,Mainero,020,True,15,Villa Mainero,celda,1.0,1.029,1.173,0,1,baja,Centro
2608,280420001,Villagrán,Villagrán,042,True,14,Villagrán,celda,0.804045,1.0684,2.086,0,2,baja,Centro
2561,280420001,Villagrán,Villagrán,042,True,14,Villagrán,celda,0.195955,0.2604,2.709,0,2,baja,Centro
732,280430001,Xicoténcatl,Xicoténcatl,043,True,25,Xicoténcatl,celda,0.758058,3.4089,1.768,0,2,baja,Mante
674,280430001,Xicoténcatl,Xicoténcatl,043,True,25,Xicoténcatl,celda,0.241942,1.088,2.7,0,2,baja,Mante
