,gain
kt_lag1,0.56862164
kt_vecinos_mean,0.13076764
kt_vecinos_mean_r3,0.098824605
cloud_op_vecinos_mean,0.059570637
kt_last_op,0.026959844
kt_vecinos_mean_r2,0.022549087
frac_nublado_12h,0.0040753833
cloud_op_media_12h,0.0036630454
cloud_type_lag1,0.0032116594
cloud_op_lag1,0.0030436942
kd_difusa_lag1,0.0030278342
wind_dir_cos_lag1,0.0028810974
kt_lag24,0.0026219639
ssa_lag1,0.0025182008
kt_upwind,0.0024025957
temperature_lag1,0.0023503925
cos_hour,0.0022615325
kt_lag2,0.0022202625
clearsky_dhi,0.0022168732
kt_lag3,0.0021461025
kd_difusa_tend,0.002139797
fill_flag_lag1,0.0021034202
wind_v_lag1,0.0020033363
clearsky_dni,0.0019763072
pressure_tend_12h,0.0017942819
cloud_fill_flag_lag1,0.0017591498
temperature_max_12h,0.0017532796
month,0.0017184429
solar_zenith_angle,0.0017155384
dewpoint_depresion_lag1,0.001663143
kd_difusa_lag2,0.0016583912
relative_humidity_min_12h,0.001572467
precipitable_water_tend_12h,0.0015459853
doy,0.0015404526
precipitable_water_lag1,0.0015156723
hour,0.0014368326
sin_doy,0.0013272671
temperature_tend_12h,0.001320774
cos_doy,0.0013092587
clearsky_ghi,0.0013055397
aerosol_optical_depth_lag1,0.001272965
wind_direction_lag1,0.001271796
relative_humidity_media_12h,0.0012096341
sin_hour,0.0011657776
precipitable_water_media_12h,0.0011594017
temperature_min_12h,0.0011317198
ozone_lag1,0.0011138419
kt_grad_x,0.0010552675
kt_vecinos_std,0.0010169124
msnm,0.0010080041
relative_humidity_lag1,0.0009688316
asymmetry_lag1,0.0009015496
wind_dir_sin_lag1,0.00082967244
longitude,0.0008237886
alpha_lag1,0.00082103617
wind_speed_lag1,0.0008074768
kt_adveccion,0.00077760755
wind_u_lag1,0.00077049714
dew_point_lag1,0.0007288227
pressure_lag1,0.0006939983
relative_humidity_max_12h,0.00060596864
surface_albedo_lag1,0.00036229307
kt_grad_y,0.00021028805
latitude,0.00019948921
