,gain
kt_lag1,0.5110596
kt_last_op,0.13812691
kt_vecinos_mean_r3,0.09553583
cloud_op_vecinos_mean,0.06544044
kt_vecinos_mean,0.03498236
kt_vecinos_mean_r2,0.016679142
frac_nublado_12h,0.0056183133
wind_direction_lag1,0.0049729347
kd_difusa_tend,0.0049030595
kt_lag24,0.004410777
kt_upwind,0.004148906
pressure_lag1,0.004085018
cloud_op_media_12h,0.0039454605
temperature_lag1,0.0036191612
cloud_type_lag1,0.003573412
kd_difusa_lag1,0.0035485676
hour,0.0033203405
kd_difusa_lag2,0.0033202711
kt_lag2,0.0032419765
cloud_op_lag1,0.0030920387
temperature_max_12h,0.003078763
sin_hour,0.0029117847
cos_hour,0.0028493623
kt_grad_x,0.0028464894
fill_flag_lag1,0.0027952157
pressure_tend_12h,0.0025683318
solar_zenith_angle,0.0025587953
month,0.0025271862
temperature_tend_12h,0.0025209005
ssa_lag1,0.002378471
precipitable_water_tend_12h,0.0023523788
precipitable_water_lag1,0.0022895967
clearsky_ghi,0.0022717887
clearsky_dni,0.002266265
kt_vecinos_std,0.002242494
dew_point_lag1,0.002205079
doy,0.002180681
cos_doy,0.0021528285
wind_dir_sin_lag1,0.0021399702
wind_u_lag1,0.0020726554
temperature_min_12h,0.0020707445
kt_grad_y,0.0019170289
sin_doy,0.0018764575
dewpoint_depresion_lag1,0.0018625162
clearsky_dhi,0.0018426501
wind_dir_cos_lag1,0.0018262746
ozone_lag1,0.0017218543
wind_v_lag1,0.0016543793
relative_humidity_min_12h,0.0015712919
kt_lag3,0.0015270663
relative_humidity_lag1,0.0014115742
relative_humidity_max_12h,0.0013963537
precipitable_water_media_12h,0.0013934069
msnm,0.0013865405
wind_speed_lag1,0.0013520834
alpha_lag1,0.0013117691
cloud_fill_flag_lag1,0.0012816949
longitude,0.0011846918
aerosol_optical_depth_lag1,0.001101519
asymmetry_lag1,0.000991612
relative_humidity_media_12h,0.000946228
latitude,0.00085973495
kt_adveccion,0.0005516969
surface_albedo_lag1,0.00012723292
