segmento,n,RMSE_persistence,RMSE_modelo,MAE_modelo,MBE_modelo,R2_persistence,R2_modelo,skill,split
global,4112,84.62523670617138,77.5325008963036,42.36168678678891,2.6926902393422703,0.9214757528330444,0.9340869248213881,0.08381348266705091,val
limpio_ff0,3712,86.67878784242468,79.33405109958098,43.038105579285784,1.8621557303543748,0.9120119461130566,0.9262915435395644,0.08473511138845036,val
rellenado_ff_pos,400,62.42513659155995,58.21282630397605,36.08452039241791,10.40005048274994,0.8899392702538621,0.9042914457168081,0.06747779047957125,val
global,4123,84.87255937778005,79.69784371316113,46.48503561896547,1.9328478466906422,0.9162273549125018,0.9261312459882948,0.06097042085870774,test
limpio_ff0,3734,86.48215700045654,81.39900669351695,47.77728679924645,2.054513505262427,0.9060545881882622,0.9167736671740547,0.05877686777531177,test
rellenado_ff_pos,389,67.49695077018376,61.00105664409353,34.08075308125552,0.76498263047716,0.8865413914968807,0.9073289974935659,0.09623981605047172,test
