regimen_rampa,n,RMSE_modelo,RMSE_persistence,MAE_modelo,R2_modelo,skill
rampa suave (<0.1),2818,40.5239114555163,23.28554089561493,25.11788114475984,0.9796740881481262,-0.7403036346537113
rampa moderada (0.1-0.25),817,92.52085352396222,97.16309425260849,70.87737704432288,0.8666474938298867,0.04777781897905797
rampa fuerte (>0.25),487,172.94568771257954,204.96054651490658,129.2456465452848,0.38834921152701385,0.1562001045893905
