,gain
kt_lag1,0.37291923
kt_last_op,0.13976604
cloud_type_lag1,0.055608097
cos_hour,0.024350071
hour,0.016408242
temperature_max_12h,0.015103373
wind_direction_lag1,0.013179121
temperature_tend_12h,0.013084359
relative_humidity_lag1,0.012914193
temperature_lag1,0.0129112685
clearsky_dni,0.012679325
asymmetry_lag1,0.012580433
clearsky_dhi,0.01251011
pressure_tend_12h,0.0121280085
ssa_lag1,0.011832964
clearsky_ghi,0.011758826
solar_zenith_angle,0.011740071
relative_humidity_min_12h,0.011353202
ozone_lag1,0.011344246
precipitable_water_tend_12h,0.011275246
precipitable_water_lag1,0.01117152
cloud_fill_flag_lag1,0.011102059
aerosol_optical_depth_lag1,0.010967975
kt_lag2,0.010937184
kt_lag24,0.010636142
fill_flag_lag1,0.010505192
sin_doy,0.010193171
precipitable_water_media_12h,0.010168087
temperature_min_12h,0.0101605235
cos_doy,0.010123233
relative_humidity_max_12h,0.009793776
alpha_lag1,0.009605293
doy,0.009549789
pressure_lag1,0.009377116
relative_humidity_media_12h,0.009338545
kt_lag3,0.009197751
sin_hour,0.009006927
wind_speed_lag1,0.008933992
surface_albedo_lag1,0.008761473
dew_point_lag1,0.008702565
month,0.0063212286
latitude,0.0
longitude,0.0
msnm,0.0
