horizonte,n,RMSE_modelo,RMSE_persistence,MAE_modelo,MBE_modelo,R2_modelo,skill
1,103060,91.75054911238014,84.9010062154114,62.96659932244586,-3.5480605298239363,0.9021843424498093,-0.08067681647482527
2,103035,107.60642272611787,116.27576201796873,73.96700524487855,-2.6653450565507457,0.8654802937076285,0.07455843884739399
3,103010,117.68098375793369,137.8232136557636,81.4544102525819,-2.143646621845721,0.8391506492408285,0.14614540877082205
4,102985,125.47522505093043,155.40992860390097,87.46926680301794,-2.4460729462053323,0.8171786476684284,0.19261770352694918
5,102960,131.3674689836343,169.81675217921753,91.46746469339459,-2.4282563885837423,0.7996289910382411,0.2264163146578464
6,102935,135.55425150251034,180.28396013879305,94.26898418370152,-2.2266509651919164,0.7866796318586526,0.24810697857894393
7,102910,138.19922229715107,186.05328978037883,95.82974972720469,-1.1835823759616158,0.7783197196800966,0.2572062420380511
8,102885,140.11902637592922,189.45398050757586,97.15117129710926,-0.4731222966539157,0.7721566394648208,0.2604060046638811
9,102860,140.94993217359584,187.57581196082336,97.577528263193,0.5163876036702486,0.7694294481917395,0.24857085409799895
10,102835,141.5129128114121,183.33095100734934,97.97462167337818,1.487908736343556,0.7675201813685093,0.2281013542239294
11,102810,142.02490269623166,180.28517531321296,98.38596729554186,2.2335957379238973,0.7657563147701091,0.2122208470580622
12,102785,142.5789754653847,179.0485526373255,98.76530311743,2.969300985384725,0.7638905528066537,0.20368540619153908
13,102760,143.22948069111135,179.66490082325282,99.42852636814385,3.321351394553786,0.7617366364118245,0.20279653936405306
14,102735,144.3202500915672,183.44547158505117,100.32913859680592,3.4573549418798786,0.758107845622896,0.21327984362559893
15,102710,145.58100768455117,188.55450256751828,101.28885716688707,4.013589412741426,0.7539061844725713,0.22791020260881334
16,102685,146.67534405096808,194.36032829018453,102.23461300269238,3.7755657658965527,0.7502456286291289,0.24534319662200632
17,102660,147.8070596201422,200.17000132793694,103.15098177118217,3.3423420793508405,0.7464082038926578,0.26159235330177644
18,102635,148.57800958062282,205.04345641888796,103.68374175237757,3.176398357190455,0.7437546383974767,0.2753828277402357
19,102610,148.9980128660118,209.27105126872567,104.0333197931349,3.1760865450198743,0.7422581934380716,0.28801421905850255
20,102585,149.45433381604212,211.89299381743442,104.24261711296697,3.393592157761953,0.740599414237584,0.2946707150458643
21,102560,149.692368634403,212.47281635894024,104.41559657975131,3.7991069431926667,0.7397610736139482,0.2954751991354946
22,102535,149.80524561339783,211.5780874525576,104.41519841145474,4.368071876531599,0.7394269404405647,0.29196237938870284
23,102510,149.95260267231797,210.65668499708516,104.43180543601821,4.848589473111538,0.738970460654332,0.28816594320568156
24,102485,150.10378517894767,208.2275157232632,104.46918863445636,5.2272305078030605,0.7384733005372284,0.27913568647460907
