por,metrica,min,media,max,argmin,argmax
horizonte,skill,-0.08067681647482527,0.22421199340633047,0.2954751991354946,1,21
hora_target,skill,0.19008069658290516,0.2405445643635977,0.35742780910603766,16,6
mes_target,skill,0.14007898695224208,0.24696734711516496,0.3387972593072097,2,8
nodo_id,skill,0.23252398203225932,0.24406089389666188,0.25139683864879225,1629,1632
