mes_target,n,RMSE_modelo,RMSE_persistence,MAE_modelo,MBE_modelo,R2_modelo,skill
1,178500,139.70745017540386,190.40553981956666,92.96189815887591,29.509172713232726,0.6105306221262582,0.2662637320962702
2,178368,140.37430198117448,163.2409254469264,94.66935298425888,25.715987982125977,0.7356460072900974,0.14007898695224208
3,204600,148.58399580696593,188.21925430514855,99.74256587961231,40.60939811989738,0.7448683513984083,0.21058025463178365
4,213048,131.45743557831713,180.2585124696728,92.11205319682156,-8.531853442087908,0.8294149230120447,0.270728279196058
5,241800,128.80297070337946,177.29132111021912,98.21989633550949,-43.269844786329664,0.8377334921258399,0.2734953414707494
6,234000,192.5955058218191,224.26849269501247,128.90373595126724,25.828088698161718,0.6777603607787572,0.14122798299744288
7,237672,133.9867160085432,188.02185598272163,96.6411883089138,-16.06385582799396,0.8142221822112367,0.287387547004876
8,223200,111.73945305654172,168.99423759112696,72.68637788112673,-1.293972133034206,0.8650046810494771,0.3387972593072097
9,198120,141.7024338239089,212.76169309794585,109.33152374289102,-7.086879358758412,0.728560294512165,0.33398521246644
10,204600,134.90906568775165,170.11713989837006,88.58099009076624,5.119355177235656,0.763143407116496,0.2069637088399917
11,181536,124.60964684831274,152.29464242067579,93.88968640215604,-32.895878105664195,0.7229847941076718,0.18178574854846297
12,171096,120.64696306493003,175.439056039205,83.42110093965968,12.839882261607109,0.6894320260224678,0.3123141118704532
