hora_target,n,RMSE_modelo,RMSE_persistence,MAE_modelo,MBE_modelo,R2_modelo,skill
6,52464,12.584003576432886,19.583797361236112,9.854291585316929,-1.1448615712209396,0.4725179432081891,0.35742780910603766
7,169560,49.10959642309625,62.52050853527234,36.24815199203784,-1.5982320898650362,0.611230801368364,0.2145042071212525
8,218550,91.80038975180399,116.90617181253823,69.99017677112592,-1.5842579707407183,0.5886019071259638,0.2147515539298639
9,218625,132.46879280835984,173.7533405486045,101.20964714094009,-5.276193558913084,0.4815894019285073,0.2376043396339539
10,218700,159.51731587025478,216.648079178507,119.33964572707717,-4.922473876108767,0.43153203218412994,0.26370306870424354
11,218775,181.53425006358324,244.377477150915,132.22462399865026,6.921025864196469,0.398614009135452,0.25715637881195985
12,218850,189.54254387344685,252.66456200747618,136.56482768853465,17.047403589061524,0.3872140008116455,0.24982537175973885
13,218900,179.98032353785885,245.12062920102562,130.57286142817082,8.929533444887811,0.39655088707571606,0.2657479538768017
14,218950,165.87582972899241,217.85846703125787,124.7102635659337,2.5159593937365834,0.40095407907893,0.23860737666352483
15,219000,146.4025539519993,185.86422069387717,111.05528991921804,-3.893363595355387,0.38965911584919677,0.21231448739600178
16,219050,108.40450244216188,133.8460535324905,80.88151667367342,-4.341145349537244,0.4463723687744412,0.19008069658290516
17,187540,64.67359808109123,80.40374992984809,48.614435951921834,3.265406066521254,0.5188475176624507,0.19563953002790724
18,87576,24.63811056407666,31.985772229031557,19.124057742683917,0.4124090588566777,0.42215156405722176,0.22971656311257882
