regimen_nubosidad,n,RMSE_modelo,RMSE_persistence,MAE_modelo,MBE_modelo,R2_modelo,skill
cubierto (kt<0.3),175421,338.4068757506826,314.70804809123996,295.4090199527127,295.337137821648,-26.081556896829078,-0.07530416779354776
parcial (0.3-0.7),429073,170.86785911898068,206.34344564638633,130.25530654158413,125.6569549433305,0.008654639713065237,0.17192494976652017
despejado (kt>=0.7),1862046,90.75680011044273,160.998020150603,69.82033466465991,-54.797917239081976,0.8914122040025578,0.43628623491428187
