hora_target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6,0.4097410324234483,0.48026825193352696,0.45978618588943876,0.4178709467386784,0.23732641168216873,0.18866047413125553,0.19646427737003036,0.20786622520304565,0.2579730707990908,0.27102698256550783,0.30303869666900307,0.2980572239037447,0.16999643597644631,0.43970481543802664,0.4738084395621711,0.4728988509564278,0.45751652642822604,0.3716815321875033,0.3167776355351274,0.2824818068845848,0.27587195029382117,0.2872306120133914,0.31215386200931317,0.3474575650672007
7,0.16487972852217125,0.28057190741745097,0.3262774430904394,0.27722021185402024,0.23765008731958648,0.14251316586489116,0.12351262430603771,0.08167026627640173,0.09709347728243001,0.11954599892683315,0.14902286391788977,0.19271589144442958,0.1965264469070015,0.19296691543152533,0.2769926566997619,0.2991245795147893,0.29212266824400246,0.27775396905965044,0.22125147734312645,0.1891900439769203,0.15826864440066213,0.1540397831462036,0.21121485089269798,0.23238926608552501
8,-0.04151653936989752,0.19221976669034913,0.2615589727400607,0.2899175406824116,0.24882632102464508,0.2211742930218621,0.15548500963611345,0.14381770203379962,0.10362294640555525,0.10502884634110343,0.11345587492912945,0.14810681390199787,0.21206109481481128,0.21737471249814533,0.23158353872371296,0.2853675196629043,0.2995989022521498,0.28768276804021886,0.2742067894430714,0.24205354445710903,0.21152515018122175,0.1792554396817686,0.17649405301366505,0.23549524820457868
9,-0.0683323854340987,0.08303273498347785,0.2317338955409064,0.28838921473060153,0.3061198176584746,0.27117031660376656,0.24269788534380954,0.1997019742658599,0.17924215260159404,0.14426622966513836,0.164003302351582,0.1576220165644301,0.19136632890575378,0.2471124940283027,0.2433817037503858,0.2507173577575986,0.3018479669432157,0.3183166427134959,0.30216402532375897,0.28700766404813804,0.2566781507107435,0.23116656126560287,0.21636674900103536,0.21250878950057328
10,-0.07073807406049237,0.12194943918638823,0.1555847316270642,0.25959638584171285,0.3125344351455661,0.3296990035711871,0.2871704979657179,0.25815892711698063,0.21689462492378764,0.20041667572558697,0.1884893330184576,0.21544669522110305,0.20342771316592223,0.23648107998063894,0.2768926853633751,0.27510942474094535,0.2762055189034347,0.32484713019044165,0.3380456197097902,0.322886966790774,0.30505426590061024,0.2837372282814482,0.2576427978286976,0.24025664985875805
11,-0.08539996689849505,0.07195895010168585,0.14705590533406665,0.1597162853411206,0.25251043744045953,0.3046608957423548,0.3153348367196469,0.275233260858046,0.2514458986036575,0.2175968504871325,0.20004384412781773,0.1876655920140149,0.21682726749336978,0.2025042623721548,0.24212486193024507,0.2782346328758961,0.26897604101430794,0.2693340125299969,0.3207566142739766,0.3305565207775656,0.3156016339212804,0.29987152672995765,0.2825109793191968,0.25599558326607663
12,-0.1460392287751362,0.04303721165371632,0.12394217201115898,0.17448808005080918,0.17795260901029997,0.23680298241571318,0.2950483449724456,0.3085583421572601,0.27096796396764267,0.24983502531788981,0.21591901582564843,0.18678139828104623,0.17996651990356283,0.21808534060117069,0.19708948214715571,0.2361509618923715,0.2778553898349466,0.2573664913882526,0.26462782900882775,0.31772434611461087,0.3272251570227911,0.31318718547372437,0.29971371868998853,0.28056219510731295
13,-0.037320814159267135,0.04104798674605792,0.11436420714729267,0.16813782310976522,0.21086671419248282,0.21864715858681338,0.25565799488505925,0.3158475775034243,0.3158572636950999,0.2780302066593925,0.25453028730008276,0.23762486876296463,0.20850727399246882,0.2129192149178354,0.242673985834156,0.22187633962438724,0.2618912785074059,0.30426672474715977,0.28616835087116266,0.28748814566766867,0.33355642214689296,0.34777822692765004,0.33920199624448943,0.31693529568993284
14,-0.14647991720167308,0.046270378237997734,0.08637536272370094,0.13135373619787039,0.15818421583721798,0.18387047164342396,0.19952587714567505,0.23713178585248773,0.2718078800982371,0.2766889780520102,0.2458512274733865,0.22536097579956416,0.21564881457449014,0.20080289709616228,0.20940237461269906,0.2365863844700533,0.21783484326656466,0.2504700669557285,0.2913491164628267,0.26812335358338824,0.26588953854378083,0.3048641812476086,0.33113044978432715,0.32592651306080467
15,-0.08637839007702941,0.03846859891805254,0.09788960970210425,0.12216879342842524,0.14785601556599237,0.17675013807658413,0.18947908609114872,0.20186184976370836,0.2168118368374653,0.2028886318526888,0.23336270197337505,0.21911639783993697,0.20106077393406485,0.19706505633967664,0.1866894687444538,0.21551417908499848,0.23188340728618095,0.21884134059587113,0.24313564580982228,0.2733271550586397,0.25420987747891777,0.24736755250344267,0.27879742697350596,0.30028870689861265
