nodo_id,n,RMSE_modelo,RMSE_persistence,MAE_modelo,MBE_modelo,R2_modelo,skill
1628,98676,139.95413137653415,184.92611527043056,96.01178816747243,9.461623186715281,0.7653867211159058,0.2431889288764364
1629,98652,144.67333513754505,188.50534967937736,99.5863747604917,6.460214978410307,0.753805372297568,0.23252398203225932
1630,98652,140.53694930680322,184.99695027882987,97.7841375357075,0.2573475913255555,0.7691555347519362,0.24032829138543066
1631,98652,138.8733394605397,183.95387892799795,96.32293804968435,0.13468501827872273,0.7755925991835522,0.24506435923051872
1632,98700,135.67285367770543,181.23467904252465,93.48070366127467,-1.3642262208831648,0.7879477018525733,0.25139683864879225
1681,98700,143.6572034815365,190.17381480201837,98.32216874456937,10.6959063251928,0.7587477503518696,0.24460050595771177
1682,98652,141.4811966703866,186.15093589742293,98.21108013198607,-0.927202787786953,0.7710113615840457,0.2399651605923231
1683,98652,139.6744581351158,184.2182166211582,97.00205148305687,1.7121433033247462,0.7745543023167235,0.24179888017071582
1684,98628,135.72642551076606,179.49982694978323,93.34990798141772,-0.8043059110446581,0.7864328715645055,0.24386319576376636
1685,98676,133.9546602288055,177.65923284269206,92.00998463765761,-3.7892833861163613,0.791732914364985,0.24600225901338135
1734,98676,144.803737779288,191.43585949256592,100.25681804813726,2.994333634897266,0.753341506858446,0.24359136181112817
1735,98652,142.00006422221006,187.69136756765576,98.54109099271064,1.6666215320916398,0.7680415131768751,0.24343849127198502
1736,98652,136.74708133921922,181.5296245315346,94.02221616948525,2.372001817295783,0.7826683083637279,0.246695509385224
1737,98700,134.64176211969126,177.3553400182183,92.80763401387914,-0.01333187738208906,0.78817586472965,0.24083615353301124
1738,98676,133.43103454783187,176.91881693462474,92.62750659601862,-1.2905409773873235,0.7921827807520687,0.24580642771798844
1786,98676,147.00325991710653,194.41288169828863,101.89583134365849,4.323006699901051,0.7464932698835851,0.24386049611032246
1787,98652,141.98756539857746,188.1103843818844,98.08655480600143,0.5753855464107479,0.7706720153092524,0.2451901798768994
1788,98652,135.67479493625717,180.5884336253279,92.91649677079485,0.905779191903093,0.7864897654906233,0.248707172366611
1789,98628,135.5814383989977,178.86183456235185,93.58715004714693,-1.5843276677470155,0.7868288400967081,0.24197669821096712
1790,98676,136.3657942240029,180.04799079544216,94.58297219885635,-0.4417721614203998,0.7850567997607418,0.24261418513171795
1832,98676,147.2167223410867,195.14359123170783,102.45619561809909,7.673058932453588,0.7453832720805142,0.24559796500677378
1833,98652,141.91244117791913,188.1616024821873,100.22140270907617,-3.2449313593991422,0.7679911118057864,0.2457948948890698
1834,98628,138.36409146721815,184.3644643252663,95.17089411308793,1.7764188141682573,0.7788695644603013,0.2495078052400146
1835,98628,137.8910960693605,182.4130874829742,95.27802421135851,0.24416912571892047,0.7818696985456002,0.2440723526362616
1836,98676,136.59895070644458,180.94978991472195,94.90182252421252,-0.41695084521980585,0.785650952605771,0.24510025255723722
