nodo_id,region
512,Sur
513,Sur
514,Sur
515,Sur
516,Sur
517,Sur
518,Sur
519,Sur
520,Sur
521,Sur
522,Sur
523,Sur
524,Sur
525,Sur
526,Sur
527,Sur
528,Sur
529,Altiplano
530,Altiplano
531,Altiplano
532,Altiplano
533,Altiplano
534,Altiplano
535,Altiplano
536,Altiplano
537,Altiplano
538,Altiplano
539,Altiplano
540,Altiplano
541,Altiplano
542,Mante
543,Mante
544,Mante
545,Mante
546,Mante
547,Mante
548,Mante
549,Mante
550,Mante
551,Mante
552,Mante
553,Mante
554,Mante
555,Mante
556,Mante
557,Mante
558,Sur
559,Sur
560,Sur
561,Sur
562,Sur
563,Sur
564,Sur
565,Sur
566,Sur
567,Sur
568,Sur
569,Sur
570,Sur
571,Sur
572,Sur
573,Sur
574,Sur
575,Sur
576,Sur
577,Sur
578,Sur
579,Sur
580,Sur
581,Sur
582,Sur
583,Sur
584,Sur
585,Sur
586,Altiplano
587,Altiplano
588,Altiplano
589,Altiplano
590,Altiplano
591,Altiplano
592,Altiplano
593,Altiplano
594,Altiplano
595,Altiplano
596,Altiplano
597,Altiplano
598,Altiplano
599,Altiplano
600,Altiplano
601,Mante
602,Mante
603,Mante
604,Mante
605,Mante
606,Mante
607,Mante
608,Mante
609,Mante
610,Mante
611,Mante
612,Mante
613,Mante
614,Mante
615,Mante
616,Mante
617,Mante
618,Mante
619,Sur
620,Sur
621,Sur
622,Sur
623,Sur
624,Sur
625,Sur
626,Sur
627,Sur
628,Sur
629,Sur
630,Sur
631,Sur
632,Sur
633,Sur
634,Sur
635,Sur
636,Sur
637,Sur
638,Sur
639,Sur
640,Sur
641,Sur
642,Sur
643,Sur
644,Sur
645,Altiplano
646,Altiplano
647,Altiplano
648,Altiplano
649,Altiplano
650,Altiplano
651,Altiplano
652,Altiplano
653,Altiplano
654,Altiplano
655,Altiplano
656,Altiplano
657,Altiplano
658,Altiplano
659,Altiplano
660,Altiplano
661,Mante
662,Mante
663,Mante
664,Mante
665,Mante
666,Mante
667,Mante
668,Mante
669,Mante
670,Mante
671,Mante
672,Mante
673,Mante
674,Mante
675,Mante
676,Mante
677,Mante
678,Mante
679,Sur
680,Sur
681,Sur
682,Sur
683,Sur
684,Sur
685,Sur
686,Sur
687,Sur
688,Sur
689,Sur
690,Sur
691,Sur
692,Sur
693,Sur
694,Sur
695,Sur
696,Sur
697,Sur
698,Sur
699,Sur
700,Sur
701,Sur
702,Sur
703,Sur
