,gain
kt_lag1,0.5077208
kt_vecinos_mean_r2,0.13152626
kt_vecinos_mean,0.124394454
cloud_op_vecinos_mean,0.063099235
kt_vecinos_mean_r3,0.0318147
kt_last_op,0.0117825605
kd_difusa_lag1,0.0055611418
kt_lag24,0.004979013
cloud_type_lag1,0.0048742765
kd_difusa_tend,0.004753121
frac_nublado_12h,0.00414816
cos_hour,0.003627494
hour,0.0036184264
sin_hour,0.0035092772
surface_albedo_lag1,0.0032700954
cloud_op_lag1,0.0028436629
kd_difusa_lag2,0.0028365725
kt_lag2,0.002747828
wind_direction_lag1,0.0027307787
wind_dir_sin_lag1,0.0027304871
dewpoint_depresion_lag1,0.0026184716
ssa_lag1,0.0025166965
temperature_lag1,0.0024824222
pressure_tend_12h,0.0024819009
kt_vecinos_std,0.0024587163
cos_doy,0.0024023703
solar_zenith_angle,0.0023546764
kt_grad_y,0.0023191753
clearsky_dhi,0.0022083584
temperature_max_12h,0.002186983
precipitable_water_lag1,0.0021832052
month,0.0021413553
cloud_op_media_12h,0.0020537975
precipitable_water_tend_12h,0.0020398987
doy,0.0020325026
kt_grad_x,0.0019783345
fill_flag_lag1,0.0019684273
clearsky_ghi,0.0019253129
relative_humidity_max_12h,0.0018811349
clearsky_dni,0.0018454844
wind_u_lag1,0.0018291979
relative_humidity_min_12h,0.0018188161
longitude,0.0017747895
relative_humidity_lag1,0.0017703021
sin_doy,0.001713827
ozone_lag1,0.0016947724
pressure_lag1,0.0016640758
temperature_tend_12h,0.0015418191
cloud_fill_flag_lag1,0.0014886652
asymmetry_lag1,0.001468551
msnm,0.0014510253
kt_lag3,0.0014142232
kt_upwind,0.0014097675
alpha_lag1,0.001405795
relative_humidity_media_12h,0.0012973872
wind_dir_cos_lag1,0.0012894603
wind_speed_lag1,0.0011895105
aerosol_optical_depth_lag1,0.0011223268
precipitable_water_media_12h,0.0010942826
kt_adveccion,0.0010828037
dew_point_lag1,0.001078382
wind_v_lag1,0.0010099949
latitude,0.0009610652
temperature_min_12h,0.0007815256
