segmento,n,RMSE_persistence,RMSE_modelo,MAE_modelo,MBE_modelo,R2_persistence,R2_modelo,skill,split
global,1938742,90.98041162956828,77.0233038249479,42.85945267131471,3.864336118565739,0.9116449440161603,0.9366743147421956,0.15340783312178785,val
limpio_ff0,1763648,92.65079008053989,78.44690037080707,43.62746807330551,3.148271214682389,0.9013658840489019,0.9292900583942348,0.15330565122418927,val
rellenado_ff_pos,175094,72.02664172238902,60.85439491573394,35.123557508200804,11.076955829144412,0.8866328412462264,0.9190746051129607,0.15511269912758208,val
global,1943477,87.79500069608875,75.81540647341741,43.92725925634516,3.457107520374103,0.9116634215267257,0.9341257117239652,0.1364496170361671,test
limpio_ff0,1768302,89.19406075021712,77.0989529378196,44.87744180341414,3.5136753665014475,0.9017285213166254,0.9265735421739258,0.13560440808126428,test
rellenado_ff_pos,175175,72.1691196888432,61.373475696484476,34.335652586745184,2.8860840555950222,0.8891560631235178,0.9198376270800801,0.14958813463298548,test
