,gain
kt_lag1,0.5074977
kt_vecinos_mean,0.12985404
kt_vecinos_mean_r3,0.12416815
cloud_op_vecinos_mean,0.07411595
kt_vecinos_mean_r2,0.022267612
kt_last_op,0.0140208425
kd_difusa_lag1,0.006051991
kt_lag24,0.0048743333
kd_difusa_tend,0.0044617294
frac_nublado_12h,0.0043296134
kt_upwind,0.0042351736
cloud_op_lag1,0.0038430656
cloud_op_media_12h,0.003778961
kt_lag2,0.0037291716
temperature_lag1,0.0035848774
cloud_type_lag1,0.003059318
ssa_lag1,0.0030163294
hour,0.0029845356
fill_flag_lag1,0.0029541783
kt_lag3,0.0028763209
kd_difusa_lag2,0.0028539293
dewpoint_depresion_lag1,0.002733564
wind_direction_lag1,0.002702247
wind_dir_cos_lag1,0.0026989132
month,0.0025716932
precipitable_water_lag1,0.0024581165
cos_hour,0.0024329673
pressure_tend_12h,0.0023721438
clearsky_dhi,0.0023519855
kt_vecinos_std,0.0022107605
clearsky_ghi,0.0021931343
pressure_lag1,0.0021862353
solar_zenith_angle,0.0021801174
temperature_max_12h,0.0021548672
wind_v_lag1,0.0021083485
clearsky_dni,0.0020637491
temperature_tend_12h,0.002054433
precipitable_water_tend_12h,0.0019064969
temperature_min_12h,0.0018437875
doy,0.0018096066
msnm,0.0017801987
sin_hour,0.0017150905
precipitable_water_media_12h,0.0016333344
sin_doy,0.0016024914
cos_doy,0.0015723372
kt_grad_y,0.0015606516
asymmetry_lag1,0.0015525988
aerosol_optical_depth_lag1,0.0014109395
relative_humidity_min_12h,0.0014011003
ozone_lag1,0.0013970337
wind_dir_sin_lag1,0.0013604076
kt_grad_x,0.0012873893
relative_humidity_media_12h,0.0012564828
cloud_fill_flag_lag1,0.0011912357
longitude,0.0011608545
relative_humidity_lag1,0.0010290403
alpha_lag1,0.0008841037
wind_speed_lag1,0.00083592447
wind_u_lag1,0.00083055964
dew_point_lag1,0.00078893325
kt_adveccion,0.00075596804
relative_humidity_max_12h,0.00066979835
latitude,0.00046759433
surface_albedo_lag1,0.00026492722
