segmento,n,RMSE_persistence,RMSE_modelo,MAE_modelo,MBE_modelo,R2_persistence,R2_modelo,skill,split
global,592312,86.70539491350209,78.23407331785981,43.26984742556288,4.364276290759415,0.9174906442671592,0.9328257478516063,0.09770235870666788,val
limpio_ff0,539027,88.1111866670019,79.40529368362243,43.78573480742343,3.5685648580640597,0.9087888144731556,0.9259227395647922,0.09880576249961992,val
rellenado_ff_pos,53285,70.9350370578887,65.21397698471924,38.05116997821096,12.413632515428258,0.8618087328847154,0.8832006648049465,0.0806521052283461,val
global,593770,86.41390074445432,78.99613115901465,46.696040483661974,1.753949879002675,0.913090553105279,0.9273707748374007,0.08584000399861258,test
limpio_ff0,538873,87.95228871554268,80.54135382958476,47.91471723848277,1.7279218346226661,0.9030730707390537,0.9187191915802262,0.08426085317605014,test
rellenado_ff_pos,54897,69.52891960882249,61.810363424848134,34.73341959544317,2.0094430818951565,0.8743074408215656,0.9006652504957745,0.11101216914342726,test
