,gain
kt_lag1,0.5392024
kt_vecinos_mean_r3,0.1158817
kt_last_op,0.10289227
cloud_op_vecinos_mean,0.061351024
kt_vecinos_mean,0.033866737
kt_vecinos_mean_r2,0.02211225
kt_upwind,0.005193349
frac_nublado_12h,0.0050132913
temperature_lag1,0.0043501314
cloud_op_lag1,0.0038137971
cloud_type_lag1,0.003626361
cloud_op_media_12h,0.0036065818
fill_flag_lag1,0.0035485341
kt_lag24,0.0035417194
cos_hour,0.0035185646
wind_dir_cos_lag1,0.0034231348
kt_lag2,0.0030975228
temperature_max_12h,0.0030878035
kd_difusa_tend,0.0029815086
ssa_lag1,0.0027711496
pressure_tend_12h,0.0027128956
wind_v_lag1,0.0026285802
kd_difusa_lag2,0.002592604
kd_difusa_lag1,0.0025889692
clearsky_ghi,0.002355765
kt_lag3,0.0023106982
precipitable_water_tend_12h,0.0022269837
hour,0.0022115128
solar_zenith_angle,0.002210102
wind_dir_sin_lag1,0.0021915191
sin_hour,0.0021056447
doy,0.00208979
clearsky_dhi,0.0020704018
kt_vecinos_std,0.0020264827
temperature_tend_12h,0.0020019498
precipitable_water_lag1,0.001893244
wind_direction_lag1,0.0018918785
sin_doy,0.0018467279
clearsky_dni,0.0017558045
dewpoint_depresion_lag1,0.001748731
dew_point_lag1,0.0017240042
month,0.0016914542
cos_doy,0.0016825007
kt_grad_x,0.0016733941
ozone_lag1,0.001611391
precipitable_water_media_12h,0.0015510824
relative_humidity_min_12h,0.0015351879
msnm,0.0015302136
kt_grad_y,0.0013769408
cloud_fill_flag_lag1,0.001373225
temperature_min_12h,0.0013727555
aerosol_optical_depth_lag1,0.0013179703
wind_u_lag1,0.0012588038
asymmetry_lag1,0.0012308833
relative_humidity_media_12h,0.0011802928
alpha_lag1,0.0011240515
relative_humidity_lag1,0.0010792745
pressure_lag1,0.001035716
relative_humidity_max_12h,0.000990671
kt_adveccion,0.000969902
wind_speed_lag1,0.0009647512
longitude,0.0007279989
latitude,0.00038293653
surface_albedo_lag1,0.0002745497
