regimen_rampa,n,RMSE_modelo,RMSE_persistence,MAE_modelo,R2_modelo,skill
rampa suave (<0.1),1347212,42.432755783498195,23.761256777690622,24.861513988758134,0.9772279504183352,-0.7857959358167532
rampa moderada (0.1-0.25),395840,89.97267607106298,105.82888550789163,69.19891838249943,0.8718879963634618,0.14982874817902392
rampa fuerte (>0.25),249195,155.8990244918777,215.37175256029894,120.91506767222815,0.5945833904954212,0.27613987146141783
