,gain
kt_lag1,0.5079634
kt_vecinos_mean_r2,0.13139667
kt_vecinos_mean,0.124403216
cloud_op_vecinos_mean,0.06458724
kt_vecinos_mean_r3,0.02757515
kt_last_op,0.008891918
cos_hour,0.006348694
frac_nublado_12h,0.0054946775
cloud_type_lag1,0.0049826666
kd_difusa_lag1,0.004957887
hour,0.004846923
kd_difusa_tend,0.0040417896
kt_lag24,0.0032712591
wind_dir_cos_lag1,0.0030306764
fill_flag_lag1,0.0030096192
clearsky_dhi,0.0028476936
clearsky_dni,0.0028221465
temperature_lag1,0.0028118887
dewpoint_depresion_lag1,0.0027645682
cloud_op_lag1,0.0026441636
pressure_tend_12h,0.0026236144
solar_zenith_angle,0.0025723255
asymmetry_lag1,0.0025285422
clearsky_ghi,0.0025116575
ssa_lag1,0.002482283
precipitable_water_tend_12h,0.0024592434
kd_difusa_lag2,0.002423689
cos_doy,0.002411703
temperature_max_12h,0.0023873164
kt_vecinos_std,0.0023089738
doy,0.0023044948
precipitable_water_lag1,0.0022643276
wind_dir_sin_lag1,0.0022501757
kt_lag2,0.002227433
sin_hour,0.002190521
temperature_tend_12h,0.0021649988
wind_direction_lag1,0.002156291
cloud_op_media_12h,0.0021451295
wind_v_lag1,0.0021104862
sin_doy,0.002071848
month,0.0020045051
temperature_min_12h,0.0020040674
kt_upwind,0.0019930669
ozone_lag1,0.0019556459
relative_humidity_lag1,0.001927904
relative_humidity_min_12h,0.0018941478
aerosol_optical_depth_lag1,0.001876342
alpha_lag1,0.001659439
wind_u_lag1,0.0015929929
precipitable_water_media_12h,0.0015212907
relative_humidity_media_12h,0.0015128418
dew_point_lag1,0.0014796024
msnm,0.0014028406
relative_humidity_max_12h,0.0013965906
cloud_fill_flag_lag1,0.0013949871
wind_speed_lag1,0.0013819655
kt_lag3,0.0013771058
kt_grad_x,0.0013010913
pressure_lag1,0.0012972824
kt_grad_y,0.001047954
longitude,0.0009875422
kt_adveccion,0.0008163877
latitude,0.0007898914
surface_albedo_lag1,9.716333e-05
